industry,founding_date,office_country,office_state,office_city,office_region,first_funding_date,last_funding_date,num_funding_rounds,total_funding_usd,first_milestone_date,last_milestone_date,num_milestones,acquisition_price,acquisition_currency,acquired,ipo_valuation_amount,valuation_currency,ipo,exit,funding_time_span
8,92,13,4,2216,1341,1970-01-01 00:00:00.000000478,1970-01-01 00:00:00.000000473,1,420000,10,10,0,0.0,6,1,0.0,3,0,1,-1
12,1305,93,4,2007,1125,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000756,3,9400000,1155,1397,4,0.0,6,1,0.0,3,0,1,0
36,259,31,4,1165,700,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,1514,1565,1,0.0,6,1,0.0,3,0,1,0
40,6,93,4,1882,1095,1970-01-01 00:00:00.000001042,1970-01-01 00:00:00.000000903,2,4100000,7,388,5,3000000.0,6,1,0.0,3,0,1,-1
7,755,93,34,290,859,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,695,705,1,0.0,6,0,0.0,3,0,0,0
36,92,93,4,1882,1457,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,1214,1266,1,0.0,6,1,0.0,3,0,1,0
36,92,93,4,1882,1457,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,10,10,0,0.0,6,0,0.0,3,0,0,0
36,92,93,4,1882,1457,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,10,10,0,0.0,6,1,0.0,3,0,1,0
22,680,95,4,904,534,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,1541,1588,1,0.0,6,0,0.0,3,0,0,0
36,92,93,4,1882,1457,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,10,10,0,0.0,6,1,0.0,3,0,1,0
36,92,93,4,1882,1457,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,1,1,1,0.0,6,0,0.0,3,0,0,0
12,11,93,4,1601,1095,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000790,3,15500000,1363,759,2,0.0,6,0,0.0,3,0,0,0
5,257,93,43,1882,1290,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,10,10,0,0.0,6,0,0.0,3,0,0,0
40,9,93,34,1444,859,1970-01-01 00:00:00.000000236,1970-01-01 00:00:00.000000223,1,1100000,454,467,1,0.0,6,1,0.0,3,0,1,-1
0,10,93,4,1905,1095,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,1514,990,2,0.0,6,0,0.0,3,0,0,0
36,92,93,4,1882,1457,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,8,8,1,0.0,6,0,0.0,3,0,0,0
40,7,93,34,1444,859,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,9,9,1,0.0,6,0,0.0,3,0,0,0
30,2,93,4,1884,1095,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,10,10,0,0.0,6,0,0.0,3,0,0,0
36,92,93,45,580,1368,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,10,10,0,0.0,6,1,0.0,3,0,1,0
36,92,93,4,1882,1457,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,50,49,1,0.0,6,0,0.0,3,0,0,0
36,92,93,4,1882,1457,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,1139,1190,1,0.0,6,0,0.0,3,0,0,0
36,92,93,4,1882,1457,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,1445,1499,1,0.0,6,0,0.0,3,0,0,0
36,92,13,4,2353,1412,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,10,10,0,0.0,6,1,0.0,3,0,1,0
28,78,93,4,1882,1457,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,10,10,0,0.0,6,0,0.0,3,0,0,0
36,92,16,4,1959,1174,1970-01-01 00:00:00.000001646,1970-01-01 00:00:00.000001644,1,0,10,10,0,0.0,6,0,0.0,3,0,0,-1
40,1308,93,4,1882,1457,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,1219,1271,1,0.0,6,0,0.0,3,0,0,0
36,5,93,13,945,562,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000021,1,1617500,10,10,0,0.0,6,0,0.0,3,0,0,-1
33,4,93,38,2385,970,1970-01-01 00:00:00.000001222,1970-01-01 00:00:00.000001387,2,19000000,10,10,1,0.0,6,1,0.0,3,0,1,0
36,92,93,4,1882,1457,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,10,10,0,0.0,6,1,0.0,3,0,1,0
36,92,31,4,2186,1316,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,10,10,0,0.0,6,1,0.0,3,0,1,0
3,88,93,48,1208,722,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,10,10,0,125000000.0,6,1,0.0,3,0,1,0
11,92,93,4,1882,1457,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,10,10,0,0.0,6,0,0.0,3,0,0,0
4,92,31,4,1165,700,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,1351,1403,1,0.0,6,0,0.0,3,0,0,0
9,5,31,4,1165,700,1970-01-01 00:00:00.000000224,1970-01-01 00:00:00.000000209,1,2010000,556,577,1,0.0,6,1,0.0,3,0,1,-1
22,1546,93,19,1882,744,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,10,10,0,0.0,6,0,0.0,3,0,0,0
36,92,93,4,1882,1457,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,10,10,0,0.0,6,0,0.0,3,0,0,0
40,753,93,4,1882,1457,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,182,186,1,0.0,6,0,0.0,3,0,0,0
36,92,93,4,1882,1457,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,10,10,0,0.0,6,0,0.0,3,0,0,0
36,92,93,35,460,271,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,10,10,0,0.0,6,1,0.0,3,0,1,0
5,65,93,34,1444,859,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,947,990,1,0.0,6,0,0.0,3,0,0,0
8,92,93,38,1651,976,1970-01-01 00:00:00.000001667,1970-01-01 00:00:00.000001668,1,10000000,947,990,1,0.0,6,0,0.0,3,0,0,0
5,155,93,11,2435,943,1970-01-01 00:00:00.000000074,1970-01-01 00:00:00.000000074,1,150000,10,10,0,0.0,6,0,0.0,3,0,0,0
36,92,93,4,1882,1457,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,0,0,783,590,2,0.0,6,0,0.0,3,0,0,0
